ID,label,order,branch,abbreviation,label_Latin,category,rule,male,female,third_order,foundation post quem,foundation ante quem,dissolution post quem,dissolution ante quem,alternative names,Wikipedia_entry_en,image,note
1,Benedictines,Benedictines,,OSB,,monastic,Saint Benedict,1,1,,,,,,"bénédictines, bénédictins",,,
2,Cluniac Benedictines,Benedictines,Cluniacs,OSB,,monastic,Saint Benedict,1,1,,,,,,cluniac,,,
3,Cistercians,Cistercians,,OCist,,monastic,Saint Benedict,1,1,,,,,,"cisterciens, cisterciennes",,,
4,Trappists,Cistercians,Trappists,OCSO,,monastic,,1,1,,,,,,"trappistines, trappistes",,,
5,Carthusians,Carthusians,,OCart,Ordo Cartusiensis,monastic + eremitical,Carthusian Statutes,1,1,0,1084,1084,N/A,N/A,,https://en.wikipedia.org/wiki/Carthusians,,
6,Dominicans,Dominicans,,OP,,mendicant,,1,1,1,,,,,"dominicains, dominican",,,
7,Franciscans,Franciscans ,,OFM,,mendicant,,1,1,1,,,,,,,,
8,Praemonstratensians,Praemonstratensians,,,,,,1,,,,,,,prémontrés,,,
9,Augustinians,Augustinians,Hermits,OSA,Ordo sancti Augustini,mendicant,,1,0,1,,,,,augustins,,,
10,Augustinian Recollects,Augustinians,Recollects,OAR,,mendicant,Saint Augustine,1,1,1,1589,1589,N/A,N/A,,https://en.wikipedia.org/wiki/Order_of_Augustinian_Recollects,,
11,Discalced Augustinians,Augustinians,Discalced,OAD,Ordo Augustiniensium Discalceatorum,mendicant,Saint Augustine,1,0,,1592,1592,N/A,N/A,,https://en.wikipedia.org/wiki/Discalced_Augustinians,,
12,Templars,Templars,,,,military,,,,,,,,,,,,
13,Hospitallers,Hospitallers,,,,military,,,,,,,,,,,,
14,Teutonic Knights,Teutonic Knights,,,,military,,,,,,,,,,,,